url,label
http://thgpmenxilwm-secure-557.com/login,phishing
https://www.wjxhjwjzgws.com,legitimate
http://bhuhmgzchwnr-secure-727.com/login,phishing
https://www.syoqglrzzhx.com,legitimate
http://qtwhjahbji-secure-560.com/login,phishing
https://www.fxgvgcxgoo.com,legitimate
http://rqsbumircgov-secure-772.com/login,phishing
https://www.nlprl.com,legitimate
http://gmuowfo-secure-725.com/login,phishing
https://www.kzhqjnyz.com,legitimate
http://elqssvwcy-secure-943.com/login,phishing
https://www.szngflmp.com,legitimate
http://umnvdvlnr-secure-504.com/login,phishing
https://www.vdxqteqgng.com,legitimate
http://gwqpoiru-secure-658.com/login,phishing
https://www.mvlhqgszy.com,legitimate
http://yltxifmg-secure-299.com/login,phishing
https://www.garcyjj.com,legitimate
http://vhtpxzfruu-secure-658.com/login,phishing
https://www.svxcnc.com,legitimate
http://flntqqetsyv-secure-559.com/login,phishing
https://www.ajwpfujvny.com,legitimate
http://gcppbb-secure-666.com/login,phishing
https://www.xfnqazijx.com,legitimate
http://qqgklcke-secure-564.com/login,phishing
https://www.twwxdmuvimb.com,legitimate
http://sjyoqwbi-secure-240.com/login,phishing
https://www.uodslhstz.com,legitimate
http://cwxmfxi-secure-434.com/login,phishing
https://www.ctraltgrdal.com,legitimate
http://hfjksbrctch-secure-366.com/login,phishing
https://www.krxlk.com,legitimate
http://zvqrigeroqpb-secure-455.com/login,phishing
https://www.lmwchc.com,legitimate
http://thhbvyeaeh-secure-655.com/login,phishing
https://www.fwxrsxus.com,legitimate
http://pfiba-secure-825.com/login,phishing
https://www.xrcgf.com,legitimate
http://bhcychhokoia-secure-487.com/login,phishing
https://www.kowzr.com,legitimate
http://sysyhqfp-secure-834.com/login,phishing
https://www.mhtxhwlq.com,legitimate
http://mioxcvoywu-secure-672.com/login,phishing
https://www.usaobnndd.com,legitimate
http://icsvedcvk-secure-183.com/login,phishing
https://www.gctetf.com,legitimate
http://pqily-secure-740.com/login,phishing
https://www.evkivlqp.com,legitimate
http://eanhxy-secure-215.com/login,phishing
https://www.lccjdx.com,legitimate
http://iluwbubpdm-secure-250.com/login,phishing
https://www.oktztwcot.com,legitimate
http://agmynpgma-secure-925.com/login,phishing
https://www.drwyladtralr.com,legitimate
http://nxbnnkcejof-secure-556.com/login,phishing
https://www.megsmaq.com,legitimate
http://jelzbofpuo-secure-955.com/login,phishing
https://www.iramzrgxflo.com,legitimate
http://sjsvkoucavh-secure-744.com/login,phishing
https://www.xlogsxhibzi.com,legitimate
http://nvfgemwievuj-secure-274.com/login,phishing
https://www.ewkykj.com,legitimate
http://jmqjt-secure-341.com/login,phishing
https://www.spbok.com,legitimate
http://tfscofzciu-secure-306.com/login,phishing
https://www.xuffahymghne.com,legitimate
http://xkfiz-secure-955.com/login,phishing
https://www.fmivuvps.com,legitimate
http://qbdpw-secure-254.com/login,phishing
https://www.znnjtddmqzq.com,legitimate
http://cdfjbhgkbibq-secure-889.com/login,phishing
https://www.qhrihgi.com,legitimate
http://qzycuim-secure-595.com/login,phishing
https://www.xrbpxk.com,legitimate
http://ixdhcw-secure-542.com/login,phishing
https://www.tokthr.com,legitimate
http://gmmeywixk-secure-785.com/login,phishing
https://www.dsyflktjt.com,legitimate
http://laqopksikq-secure-912.com/login,phishing
https://www.hlbgnxz.com,legitimate
http://xvjfnro-secure-168.com/login,phishing
https://www.fqelqlx.com,legitimate
http://jnmexgluby-secure-401.com/login,phishing
https://www.qwosytievjjc.com,legitimate
http://mvlrfwamtr-secure-238.com/login,phishing
https://www.ggdro.com,legitimate
http://ndgtejlts-secure-143.com/login,phishing
https://www.niodexkmk.com,legitimate
http://yjsjofno-secure-522.com/login,phishing
https://www.gxvqbujaoe.com,legitimate
http://kjdgamwbwq-secure-726.com/login,phishing
https://www.evhrbseof.com,legitimate
http://ymkenrqykdv-secure-125.com/login,phishing
https://www.rtejmfwj.com,legitimate
http://asiznjjiyt-secure-903.com/login,phishing
https://www.rzimhsfi.com,legitimate
http://ralpeu-secure-822.com/login,phishing
https://www.pmlfdecnhclw.com,legitimate
http://kturhzziqgvh-secure-403.com/login,phishing
https://www.uqdetpunfeps.com,legitimate
http://xfiwbmj-secure-612.com/login,phishing
https://www.xrknjvyzs.com,legitimate
http://pnuahmx-secure-871.com/login,phishing
https://www.flgbjzhb.com,legitimate
http://awmyzttrpyj-secure-127.com/login,phishing
https://www.pluhqgkl.com,legitimate
http://tsesrf-secure-268.com/login,phishing
https://www.jqlbdmtbfw.com,legitimate
http://dimxk-secure-612.com/login,phishing
https://www.blmaxrf.com,legitimate
http://skikirlgeyz-secure-156.com/login,phishing
https://www.dcnwwmdiuefo.com,legitimate
http://uguarxx-secure-799.com/login,phishing
https://www.zchwx.com,legitimate
http://tnrozrlingvo-secure-530.com/login,phishing
https://www.megfehz.com,legitimate
http://ybaialdaze-secure-522.com/login,phishing
https://www.pdcbkmik.com,legitimate
http://qcgfmdmiqat-secure-471.com/login,phishing
https://www.lljcbbvcwa.com,legitimate
http://qisarwgcojj-secure-570.com/login,phishing
https://www.gvwnjsp.com,legitimate
http://qykcitkywe-secure-187.com/login,phishing
https://www.ndgcybu.com,legitimate
http://tjujgoj-secure-264.com/login,phishing
https://www.ikgqbo.com,legitimate
http://lzphso-secure-973.com/login,phishing
https://www.ukucfefpmwe.com,legitimate
http://iflbhbwzsj-secure-500.com/login,phishing
https://www.srhybxqe.com,legitimate
http://mtbjqldxtcit-secure-722.com/login,phishing
https://www.kdlbjidoxb.com,legitimate
http://hjxxiljh-secure-327.com/login,phishing
https://www.mmibvuynfss.com,legitimate
http://vkwlttnuwtax-secure-712.com/login,phishing
https://www.rfwcar.com,legitimate
http://uebez-secure-761.com/login,phishing
https://www.wmkuk.com,legitimate
